#    n         h                k                l
   195  -0.34375035E+01  -0.75317730E-02   0.46236200E-02
   196  -0.34423957E+01  -0.74977367E-02   0.46001126E-02
   197  -0.34472873E+01  -0.74640943E-02   0.45768634E-02
   198  -0.34521783E+01  -0.74308395E-02   0.45538688E-02
   199  -0.34570687E+01  -0.73979662E-02   0.45311254E-02
   200  -0.34619585E+01  -0.73654685E-02   0.45086298E-02
   201  -0.34668476E+01  -0.73333403E-02   0.44863788E-02
   202  -0.34717360E+01  -0.73015761E-02   0.44643689E-02
   203  -0.34766237E+01  -0.72701701E-02   0.44425971E-02
   204  -0.34815107E+01  -0.72391168E-02   0.44210601E-02
   205  -0.34863970E+01  -0.72084108E-02   0.43997550E-02
   206  -0.34912825E+01  -0.71780467E-02   0.43786785E-02
   207  -0.34961672E+01  -0.71480193E-02   0.43578278E-02
   208  -0.35010512E+01  -0.71183236E-02   0.43371999E-02
   209  -0.35059343E+01  -0.70889544E-02   0.43167918E-02
   210  -0.35108165E+01  -0.70599068E-02   0.42966008E-02
   211  -0.35156979E+01  -0.70311760E-02   0.42766239E-02
   212  -0.35205784E+01  -0.70027573E-02   0.42568586E-02
   213  -0.35254580E+01  -0.69746460E-02   0.42373019E-02
   214  -0.35303366E+01  -0.69468375E-02   0.42179514E-02
   215  -0.35352143E+01  -0.69193272E-02   0.41988043E-02
   216  -0.35400909E+01  -0.68921109E-02   0.41798580E-02
   217  -0.35449666E+01  -0.68651842E-02   0.41611101E-02
   218  -0.35498412E+01  -0.68385428E-02   0.41425580E-02
   219  -0.35547147E+01  -0.68121826E-02   0.41241992E-02
   220  -0.35595871E+01  -0.67860995E-02   0.41060313E-02
   221  -0.35644584E+01  -0.67602894E-02   0.40880520E-02
   222  -0.35693286E+01  -0.67347484E-02   0.40702588E-02
   223  -0.35741976E+01  -0.67094726E-02   0.40526495E-02
   224  -0.35790654E+01  -0.66844583E-02   0.40352217E-02
   225  -0.35839320E+01  -0.66597016E-02   0.40179733E-02
   226  -0.35887973E+01  -0.66351989E-02   0.40009020E-02
   227  -0.35936613E+01  -0.66109466E-02   0.39840057E-02
   228  -0.35985240E+01  -0.65869411E-02   0.39672821E-02
   229  -0.36033854E+01  -0.65631791E-02   0.39507293E-02
   230  -0.36082455E+01  -0.65396569E-02   0.39343450E-02
   231  -0.36131041E+01  -0.65163713E-02   0.39181273E-02
   232  -0.36179613E+01  -0.64933190E-02   0.39020742E-02
   233  -0.36228171E+01  -0.64704966E-02   0.38861836E-02
   234  -0.36276714E+01  -0.64479012E-02   0.38704536E-02
   235  -0.36325242E+01  -0.64255293E-02   0.38548822E-02
   236  -0.36373754E+01  -0.64033781E-02   0.38394677E-02
   237  -0.36422252E+01  -0.63814445E-02   0.38242080E-02
   238  -0.36470733E+01  -0.63597254E-02   0.38091013E-02
   239  -0.36519198E+01  -0.63382179E-02   0.37941458E-02
   240  -0.36567647E+01  -0.63169193E-02   0.37793398E-02
   241  -0.36616079E+01  -0.62958265E-02   0.37646814E-02
   242  -0.36664494E+01  -0.62749370E-02   0.37501690E-02
   243  -0.36712891E+01  -0.62542478E-02   0.37358007E-02
   244  -0.36761271E+01  -0.62337563E-02   0.37215749E-02
   245  -0.36809634E+01  -0.62134599E-02   0.37074899E-02
   246  -0.36857978E+01  -0.61933559E-02   0.36935441E-02
   247  -0.36906303E+01  -0.61734419E-02   0.36797359E-02
   248  -0.36954610E+01  -0.61537152E-02   0.36660636E-02
   249  -0.37002898E+01  -0.61341734E-02   0.36525257E-02
   250  -0.37051167E+01  -0.61148140E-02   0.36391206E-02
   251  -0.37099416E+01  -0.60956346E-02   0.36258468E-02
   252  -0.37147645E+01  -0.60766330E-02   0.36127027E-02
   253  -0.37195854E+01  -0.60578067E-02   0.35996869E-02
   254  -0.37244043E+01  -0.60391534E-02   0.35867979E-02
   255  -0.37292211E+01  -0.60206710E-02   0.35740342E-02
   256  -0.37340357E+01  -0.60023572E-02   0.35613944E-02
   257  -0.37388483E+01  -0.59842098E-02   0.35488772E-02
   258  -0.37436587E+01  -0.59662266E-02   0.35364810E-02
   259  -0.37484669E+01  -0.59484056E-02   0.35242045E-02
   260  -0.37532729E+01  -0.59307447E-02   0.35120464E-02
   261  -0.37580766E+01  -0.59132419E-02   0.35000053E-02
   262  -0.37628780E+01  -0.58958950E-02   0.34880799E-02
   263  -0.37676772E+01  -0.58787022E-02   0.34762689E-02
   264  -0.37724740E+01  -0.58616614E-02   0.34645710E-02
   265  -0.37772685E+01  -0.58447709E-02   0.34529849E-02
   266  -0.37820605E+01  -0.58280285E-02   0.34415093E-02
   267  -0.37868501E+01  -0.58114326E-02   0.34301431E-02
   268  -0.37916373E+01  -0.57949812E-02   0.34188851E-02
   269  -0.37964220E+01  -0.57786726E-02   0.34077339E-02
   270  -0.38012042E+01  -0.57625050E-02   0.33966884E-02
   271  -0.38059839E+01  -0.57464766E-02   0.33857475E-02
   272  -0.38107610E+01  -0.57305857E-02   0.33749099E-02
   273  -0.38155355E+01  -0.57148305E-02   0.33641746E-02
   274  -0.38203074E+01  -0.56992095E-02   0.33535404E-02
   275  -0.38250766E+01  -0.56837210E-02   0.33430061E-02
   276  -0.38298432E+01  -0.56683633E-02   0.33325707E-02
   277  -0.38346070E+01  -0.56531348E-02   0.33222331E-02
   278  -0.38393682E+01  -0.56380340E-02   0.33119922E-02
   279  -0.38441265E+01  -0.56230593E-02   0.33018470E-02
   280  -0.38488821E+01  -0.56082092E-02   0.32917964E-02
   281  -0.38536348E+01  -0.55934822E-02   0.32818393E-02
   282  -0.38583847E+01  -0.55788767E-02   0.32719748E-02
   283  -0.38631317E+01  -0.55643913E-02   0.32622018E-02
   284  -0.38678759E+01  -0.55500246E-02   0.32525193E-02
   285  -0.38726170E+01  -0.55357752E-02   0.32429264E-02
   286  -0.38773553E+01  -0.55216416E-02   0.32334221E-02
   287  -0.38820905E+01  -0.55076224E-02   0.32240054E-02
   288  -0.38868227E+01  -0.54937164E-02   0.32146753E-02
   289  -0.38915519E+01  -0.54799221E-02   0.32054310E-02
   290  -0.38962780E+01  -0.54662383E-02   0.31962715E-02
   291  -0.39010010E+01  -0.54526635E-02   0.31871958E-02
   292  -0.39057209E+01  -0.54391967E-02   0.31782032E-02
   293  -0.39104377E+01  -0.54258363E-02   0.31692926E-02
   294  -0.39151512E+01  -0.54125813E-02   0.31604632E-02
   295  -0.39198616E+01  -0.53994305E-02   0.31517142E-02
   296  -0.39245687E+01  -0.53863824E-02   0.31430446E-02
   297  -0.39292725E+01  -0.53734361E-02   0.31344537E-02
   298  -0.39339731E+01  -0.53605902E-02   0.31259405E-02
   299  -0.39386704E+01  -0.53478437E-02   0.31175043E-02
   300  -0.39433643E+01  -0.53351954E-02   0.31091442E-02
   301  -0.39480548E+01  -0.53226441E-02   0.31008594E-02
   302  -0.39527420E+01  -0.53101888E-02   0.30926491E-02
   303  -0.39574257E+01  -0.52978283E-02   0.30845126E-02
   304  -0.39621060E+01  -0.52855615E-02   0.30764490E-02
   305  -0.39667828E+01  -0.52733874E-02   0.30684575E-02
   306  -0.39714561E+01  -0.52613050E-02   0.30605375E-02
   307  -0.39761259E+01  -0.52493131E-02   0.30526881E-02
   308  -0.39807921E+01  -0.52374107E-02   0.30449085E-02
   309  -0.39854548E+01  -0.52255969E-02   0.30371982E-02
   310  -0.39901138E+01  -0.52138707E-02   0.30295562E-02
   311  -0.39947693E+01  -0.52022310E-02   0.30219820E-02
   312  -0.39994210E+01  -0.51906768E-02   0.30144747E-02
   313  -0.40040691E+01  -0.51792073E-02   0.30070337E-02
   314  -0.40087135E+01  -0.51678215E-02   0.29996584E-02
   315  -0.40133542E+01  -0.51565183E-02   0.29923479E-02
   316  -0.40179911E+01  -0.51452970E-02   0.29851016E-02
   317  -0.40226242E+01  -0.51341566E-02   0.29779189E-02
   318  -0.40272535E+01  -0.51230962E-02   0.29707990E-02
   319  -0.40318790E+01  -0.51121150E-02   0.29637414E-02
   320  -0.40365006E+01  -0.51012119E-02   0.29567453E-02
   321  -0.40411184E+01  -0.50903863E-02   0.29498101E-02
   322  -0.40457322E+01  -0.50796372E-02   0.29429353E-02
   323  -0.40503421E+01  -0.50689638E-02   0.29361201E-02
   324  -0.40549481E+01  -0.50583652E-02   0.29293639E-02
   325  -0.40595501E+01  -0.50478407E-02   0.29226662E-02
   326  -0.40641480E+01  -0.50373894E-02   0.29160263E-02
   327  -0.40687420E+01  -0.50270106E-02   0.29094435E-02
   328  -0.40733319E+01  -0.50167034E-02   0.29029174E-02
   329  -0.40779177E+01  -0.50064671E-02   0.28964474E-02
   330  -0.40824995E+01  -0.49963009E-02   0.28900327E-02
   331  -0.40870771E+01  -0.49862041E-02   0.28836730E-02
   332  -0.40916505E+01  -0.49761758E-02   0.28773676E-02
   333  -0.40962198E+01  -0.49662155E-02   0.28711159E-02
   334  -0.41007850E+01  -0.49563223E-02   0.28649173E-02
   335  -0.41053459E+01  -0.49464955E-02   0.28587715E-02
   336  -0.41099025E+01  -0.49367344E-02   0.28526777E-02
   337  -0.41144549E+01  -0.49270384E-02   0.28466354E-02
   338  -0.41190030E+01  -0.49174066E-02   0.28406442E-02
   339  -0.41235469E+01  -0.49078386E-02   0.28347035E-02
   340  -0.41280863E+01  -0.48983335E-02   0.28288128E-02
   341  -0.41326215E+01  -0.48888907E-02   0.28229715E-02
   342  -0.41371523E+01  -0.48795095E-02   0.28171792E-02
   343  -0.41416786E+01  -0.48701893E-02   0.28114353E-02
   344  -0.41462006E+01  -0.48609295E-02   0.28057394E-02
   345  -0.41507181E+01  -0.48517295E-02   0.28000909E-02
   346  -0.41552312E+01  -0.48425885E-02   0.27944894E-02
   347  -0.41597397E+01  -0.48335060E-02   0.27889344E-02
   348  -0.41642438E+01  -0.48244814E-02   0.27834254E-02
   349  -0.41687434E+01  -0.48155141E-02   0.27779620E-02
   350  -0.41732384E+01  -0.48066034E-02   0.27725436E-02
   351  -0.41777288E+01  -0.47977488E-02   0.27671698E-02
   352  -0.41822147E+01  -0.47889498E-02   0.27618402E-02
   353  -0.41866959E+01  -0.47802057E-02   0.27565543E-02
   354  -0.41911725E+01  -0.47715160E-02   0.27513117E-02
   355  -0.41956445E+01  -0.47628800E-02   0.27461118E-02
   356  -0.42001118E+01  -0.47542974E-02   0.27409544E-02
   357  -0.42045744E+01  -0.47457675E-02   0.27358388E-02
   358  -0.42090323E+01  -0.47372897E-02   0.27307648E-02
   359  -0.42134854E+01  -0.47288636E-02   0.27257319E-02
   360  -0.42179338E+01  -0.47204886E-02   0.27207397E-02
   361  -0.42223775E+01  -0.47121643E-02   0.27157877E-02
   362  -0.42268163E+01  -0.47038900E-02   0.27108756E-02
   363  -0.42312503E+01  -0.46956653E-02   0.27060029E-02
   364  -0.42356795E+01  -0.46874897E-02   0.27011692E-02
   365  -0.42401039E+01  -0.46793627E-02   0.26963742E-02
   366  -0.42445234E+01  -0.46712838E-02   0.26916175E-02
   367  -0.42489380E+01  -0.46632526E-02   0.26868986E-02
   368  -0.42533476E+01  -0.46552684E-02   0.26822172E-02
   369  -0.42577524E+01  -0.46473310E-02   0.26775728E-02
   370  -0.42621522E+01  -0.46394397E-02   0.26729652E-02
   371  -0.42665470E+01  -0.46315942E-02   0.26683940E-02
   372  -0.42709369E+01  -0.46237940E-02   0.26638587E-02
   373  -0.42753218E+01  -0.46160387E-02   0.26593590E-02
   374  -0.42797016E+01  -0.46083277E-02   0.26548946E-02
   375  -0.42840764E+01  -0.46006607E-02   0.26504651E-02
   376  -0.42884462E+01  -0.45930373E-02   0.26460701E-02
   377  -0.42928108E+01  -0.45854569E-02   0.26417093E-02
   378  -0.42971704E+01  -0.45779192E-02   0.26373823E-02
   379  -0.43015249E+01  -0.45704238E-02   0.26330888E-02
   380  -0.43058742E+01  -0.45629702E-02   0.26288285E-02
   381  -0.43102184E+01  -0.45555581E-02   0.26246011E-02
   382  -0.43145575E+01  -0.45481870E-02   0.26204061E-02
