l  tau  s   h   p   n   pp  lm  lv  la  lj  ls         Hs1         body
2   0   0   1   0   0  -1   0   0   0   0   0  +6.755604683525e-05  MO
4   0   0   1   0   0  -1   0   0   0   0   0  -4.124389132438e-09  MO
2   0   0   1   0   0  -1   0   0   0   0   0  -4.989046475034e-03  SA
3   0   0   1   0   0   0   0   0   0   0   0  +1.032508258339e-06  MO
3   0   0   1   0   0   0   0   0   0   0   0  -4.504122363438e-06  SU
2   0   0   1   0   0   0   0   0   0   0   0  +8.950884894045e-09  ME
2   0   0   1   0   0   0   0   0   0   0   0  +1.081835639028e-07  VE
2   0   0   1   0   0   0   0   0   0   0   0  +1.298316806684e-08  MA
2   0   0   1   0   0   0   0   0   0   0   0  +2.310254130885e-08  JU
2   0   0   1   0   0   1   0   0   0   0   0  +6.393164943799e-07  MO
2   0   0   1   0   0   1   0   0   0   0   0  +2.582884584437e-04  SU
2   0   0 -12   0   0   0   0   8   0   0   0  +5.610638956772e-09  VE
2   0   0   0  -1   1   0   0   0   2   0   0  +3.093080269858e-08  SU
2   0   0  -7  -1   0   0   0   5   0   0   0  +7.425483535147e-09  SU
2   0   0   1  -1   1   0   0   0   0   1   0  +1.755513323480e-08  SU
2   0   0   1   0   0   0   0   0   0   0   1  +2.268979427257e-08  SU
2   0   0   1   0   1  -1   0   0   0   0   0  +3.110509365013e-05  MO
4   0   0   1   0   1  -1   0   0   0   0   0  -1.505040244819e-08  MO
2   0   0   1   0   1  -1   0   0   0   0   0  +1.598381683080e-07  SU
3   0   0   1   0   1   0   0   0   0   0   0  +1.814007641232e-07  MO
2   0   0   1   0   1   1   0   0   0   0   0  -1.528339425532e-05  MO
2   0   0   1   0   1   1   0   0   0   0   0  +4.837112517604e-08  SU
3   0   0   1   1  -1  -1   0   0   0   0   0  +3.162031668202e-08  MO
2   0   0   0   0   0   0   0   0   2   0   0  +1.133745305299e-07  SU
2   0   0   0   0   0   0   0   0   2   0   0  +1.141154633363e-08  MA
2   0   0   1   0   0   0   0   0   0   1   0  +3.590829436332e-07  SU
2   0   0   1   0   0   0   0   0   0   1   0  +2.276825733492e-08  JU
2   0   0   1   0   1   0   0   0   0   0   1  +1.076222035833e-08  SU
2   0   0   8   0   0   0   0   0 -13   0   0  +2.809166136034e-09  MA
2   0   0   1   0   2  -1   0   0   0   0   0  -6.551628315729e-07  MO
3   0   0   1   0   2   0   0   0   0   0   0  -7.344306963902e-09  MO
2   0   0   1   0   2   1   0   0   0   0   0  -3.396723881379e-06  MO
3   0   0   1   1   0  -1   0   0   0   0   0  -8.923875643921e-07  MO
2   0   0   1   1   0   0   0   0   0   0   0  +3.730039645213e-08  MO
2   0   0   1   1   0   0   0   0   0   0   0  -7.785688958777e-08  SU
2   0   0   6   0   0   0   0  -3   0   0   0  +5.175920610626e-08  SU
2   0   0   6   0   0   0   0  -3   0   0   0  +3.294846808081e-08  VE
2   0   0  -1   0   0   0   0   0   4   0   0  +7.282651045348e-09  MA
2   0   0   1   1  -1   0   0   0   0   0   2  +1.093101072454e-07  SU
2   0   0  -7   0   0   0   0   5   0   0   0  +2.515972680539e-07  VE
2   0   0   1   0   1   0   0   0   0   1   0  +1.849167630195e-08  MO
2   0   0   7   0   0   0   0   0 -11   0   0  +5.050806166971e-09  MA
2   0   0  -3   0   0   0   1   0   0   0   0  +2.198058057902e-08  SU
2   0   0  -3   0   0   0   1   0   0   0   0  +3.740620374964e-09  ME
2   0   0   1   0   3   1   0   0   0   0   0  +9.533127512257e-08  MO
3   0   0   1   1   1  -1   0   0   0   0   0  -1.853442589954e-07  MO
2   0   0   1   1   1   0   0   0   0   0   0  -8.038579134529e-07  MO
2   0   0   1   1   1   0   0   0   0   0   0  +2.941340670765e-08  SU
2   0   0   1   0   0   0   0   0   0   2   0  +8.231457702942e-08  SU
2   0   0   1   0   0   0   0   0   0   2   0  +3.245023204679e-09  JU
2   0   0  -2   0   0   0   0   0   6   0   0  +3.849606666820e-09  MA
2   0   0  -7  -1   0   0   2   0   0   0   0  +9.588692680315e-09  SU
2   0   0   1   1   0   0   0   0   0   1   0  +2.197542903508e-08  MO
2   0   0   6   0   0   0   0   0  -9   0   0  +8.069181796337e-09  MA
2   0   0   1   1   0   0   0   0   0   0   3  +2.207932827828e-08  SU
3   0   0   1   1   2  -1   0   0   0   0   0  +1.935568584083e-08  MO
2   0   0   1   1   2   0   0   0   0   0   0  -2.644674084045e-07  MO
2   0   0  11   0   0   0   0  -6   0   0   0  +4.127169840994e-08  SU
2   0   0  11   0   0   0   0  -6   0   0   0  +1.786004493007e-09  VE
2   0   0   1   1   0   0   0   0   0   0   4  +1.695770450561e-07  SU
2   0   0  -2   0   0   0   0   2   0   0   0  +1.785860752337e-06  VE
2   0   0   1   1   1   0   0   0   0   1   0  +4.252400461898e-08  MO
2   0   0   1   1   1   0   0   0   0   1   0  +4.704161771645e-06  SU
2   0   0   1   0   0   0   0   0   0   3   0  +1.817130160079e-07  SU
2   0   0   1  -1  -1   0   0   0   0   5   0  +4.070209290612e-08  SU
2   0   0 -15   0   0   0   0  10   0   0   0  +1.774239823227e-09  VE
2   0   0   1  -1   1   0   0   0   0   4   0  +4.077136720777e-08  SU
2   0   0   5   0   0   0   0   0  -7   0   0  +1.111774416050e-08  MA
2   0   0   1   2   1  -1   0   0   0   0   0  +3.120787776878e-07  MO
