# n            h                    k                    l
  380   -4.1609094324514   -4.4487163082498E-03   2.1584071701872E-03
  381   -4.1649002769593   -4.4411924872877E-03   2.1544244880389E-03
  382   -4.1688871403202   -4.4337109063438E-03   2.1504765941429E-03
  383   -4.1728700098527   -4.4262711813856E-03   2.1465631567131E-03
  384   -4.1768488786723   -4.4188728878158E-03   2.1426838304994E-03
  385   -4.1808237340583   -4.4115156327176E-03   2.1388382917849E-03
  386   -4.1847945661122   -4.4041990729837E-03   2.1350262105964E-03
  387   -4.1887613663473   -4.3969227928773E-03   2.1312472582689E-03
  388   -4.1927241243988   -4.3896864301672E-03   2.1275011142631E-03
  389   -4.1966828272665   -4.3824896006585E-03   2.1237874703769E-03
  390   -4.2006374707230   -4.3753319394655E-03   2.1201059941522E-03
  391   -4.2045880403816   -4.3682130945398E-03   2.1164563890703E-03
  392   -4.2085345291341   -4.3611326809171E-03   2.1128383384898E-03
  393   -4.2124769283147   -4.3540903636788E-03   2.1092515349810E-03
  394   -4.2164152268897   -4.3470857922460E-03   2.1056956807364E-03
  395   -4.2203494144560   -4.3401186073941E-03   2.1021704803164E-03
  396   -4.2242794855325   -4.3331884738839E-03   2.0986756262960E-03
  397   -4.2282054272413   -4.3262950310410E-03   2.0952108369999E-03
  398   -4.2321272321401   -4.3194379873461E-03   2.0917758168274E-03
